Agency Name,State Name [District] Latest available year,State Abbr [District] Latest available year,Agency Name [District] 2021-22,Agency ID - NCES Assigned [District] Latest available year,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2021-22,Agency Type [District] 2021-22
BEAUFORT COUNTY SCHOOLS,North Carolina,NC ,Beaufort County Schools,3700330,15013,1-Regular local school district that is NOT a component of a supervisory union
BEAUMONT ISD,Texas,TX ,BEAUMONT ISD,4809670,12863,1-Regular local school district that is NOT a component of a supervisory union
BEAUMONT UNIFIED,California,CA ,Beaumont Unified,0604290,16182,1-Regular local school district that is NOT a component of a supervisory union
BEAUREGARD PARISH,Louisiana,LA ,Beauregard Parish,2200180,15278,1-Regular local school district that is NOT a component of a supervisory union
BEAVER,Oklahoma,OK ,BEAVER,4003750,12441,1-Regular local school district that is NOT a component of a supervisory union
BEAVER AREA SD,Pennsylvania,PA ,Beaver Area SD,4203120,23378,1-Regular local school district that is NOT a component of a supervisory union
BEAVER COUNTY CTC,Pennsylvania,PA ,Beaver County CTC,4280500,–,9-Specialized public school district
BEAVER COVE PUBLIC SCHOOLS,Maine,ME ,Beaver Cove Public Schools,2302960,–,1-Regular local school district that is NOT a component of a supervisory union
BEAVER CREEK ELEMENTARY DISTRICT (4481),Arizona,AZ ,Beaver Creek Elementary District (4481),0401080,17224,1-Regular local school district that is NOT a component of a supervisory union
BEAVER DAM UNIFIED SCHOOL DISTRICT,Wisconsin,WI ,Beaver Dam Unified School District,5500960,15576,1-Regular local school district that is NOT a component of a supervisory union
BEAVER DISTRICT,Utah,UT ,Beaver District,4900060,14777,1-Regular local school district that is NOT a component of a supervisory union
BEAVER ISLAND COMMUNITY SCHOOL,Michigan,MI ,Beaver Island Community School,2604350,40138,1-Regular local school district that is NOT a component of a supervisory union
BEAVER LOCAL,Ohio,OH ,Beaver Local,3904642,12809,1-Regular local school district that is NOT a component of a supervisory union
BEAVER RIVER CENTRAL SCHOOL DISTRICT,New York,NY ,BEAVER RIVER CENTRAL SCHOOL DISTRICT,3604200,22794,1-Regular local school district that is NOT a component of a supervisory union
BEAVERCREEK CITY,Ohio,OH ,Beavercreek City,3904724,14571,1-Regular local school district that is NOT a component of a supervisory union
BEAVERHEAD COUNTY H S,Montana,MT ,Beaverhead County H S,3003090,19172,1-Regular local school district that is NOT a component of a supervisory union
BEAVERTON SCHOOLS,Michigan,MI ,Beaverton Schools,2604440,20545,1-Regular local school district that is NOT a component of a supervisory union
BEAVERTON SD 48J,Oregon,OR ,Beaverton SD 48J,4101920,17283,1-Regular local school district that is NOT a component of a supervisory union
BECKER PUBLIC SCHOOL DISTRICT,Minnesota,MN ,BECKER PUBLIC SCHOOL DISTRICT,2703870,15381,1-Regular local school district that is NOT a component of a supervisory union
BECKVILLE ISD,Texas,TX ,BECKVILLE ISD,4809690,14343,1-Regular local school district that is NOT a component of a supervisory union
BEDDINGTON PUBLIC SCHOOLS,Maine,ME ,Beddington Public Schools,2302980,–,1-Regular local school district that is NOT a component of a supervisory union
BEDFORD,Massachusetts,MA ,Bedford,2502400,27757,1-Regular local school district that is NOT a component of a supervisory union
BEDFORD AREA SD,Pennsylvania,PA ,Bedford Area SD,4203180,20157,1-Regular local school district that is NOT a component of a supervisory union
BEDFORD CENTRAL SCHOOL DISTRICT,New York,NY ,BEDFORD CENTRAL SCHOOL DISTRICT,3619950,38638,1-Regular local school district that is NOT a component of a supervisory union
BEDFORD CITY,Ohio,OH ,Bedford City,3910017,20083,1-Regular local school district that is NOT a component of a supervisory union
BEDFORD COMM SCHOOL DISTRICT,Iowa,IA ,Bedford Comm School District,1904560,16520,1-Regular local school district that is NOT a component of a supervisory union
BEDFORD COUNTY,Tennessee,TN ,Bedford County,4700180,10343,1-Regular local school district that is NOT a component of a supervisory union
BEDFORD COUNTY PUBLIC SCHOOLS,Virginia,VA ,BEDFORD CO PBLC SCHS,5100360,14207,1-Regular local school district that is NOT a component of a supervisory union
BEDFORD COUNTY TECHNICAL CENTER,Pennsylvania,PA ,Bedford County Technical Center,4200001,–,9-Specialized public school district
BEDFORD PUBLIC SCHOOLS,Michigan,MI ,Bedford Public Schools,2604470,14946,1-Regular local school district that is NOT a component of a supervisory union
BEDFORD SCHOOL DISTRICT,New Hampshire,NH ,Bedford School District,3301740,17957,2-Local school district that is a component of a supervisory union
BEDMINSTER TOWNSHIP PUBLIC SCHOOL DISTRICT,New Jersey,NJ ,Bedminster Township Public School District,3401320,48807,1-Regular local school district that is NOT a component of a supervisory union
BEEBE SCHOOL DISTRICT,Arkansas,AR ,BEEBE SCHOOL DISTRICT,0502880,12190,1-Regular local school district that is NOT a component of a supervisory union
BEECH GROVE CITY SCHOOLS,Indiana,IN ,Beech Grove City Schools,1800450,15792,1-Regular local school district that is NOT a component of a supervisory union
BEECHER CITY CUSD 20,Illinois,IL ,Beecher City CUSD 20,1705460,14676,1-Regular local school district that is NOT a component of a supervisory union
BEECHER COMMUNITY SCHOOL DISTRICT,Michigan,MI ,Beecher Community School District,2604500,17842,1-Regular local school district that is NOT a component of a supervisory union
BEECHER CUSD 200U,Illinois,IL ,Beecher CUSD 200U,1705430,18648,1-Regular local school district that is NOT a component of a supervisory union
BEECHER-DUNBAR-PEMBINE SCHOOL DISTRICT,Wisconsin,WI ,Beecher-Dunbar-Pembine School District,5511550,23758,1-Regular local school district that is NOT a component of a supervisory union
BEECHWOOD INDEPENDENT,Kentucky,KY ,Beechwood Independent,2100360,15588,1-Regular local school district that is NOT a component of a supervisory union
BEEKMANTOWN CENTRAL SCHOOL DISTRICT,New York,NY ,BEEKMANTOWN CENTRAL SCHOOL DISTRICT,3604290,23822,1-Regular local school district that is NOT a component of a supervisory union
BEEVILLE ISD,Texas,TX ,BEEVILLE ISD,4809720,16291,1-Regular local school district that is NOT a component of a supervisory union
BEGGS,Oklahoma,OK ,BEGGS,4003810,12557,1-Regular local school district that is NOT a component of a supervisory union
BELCHERTOWN,Massachusetts,MA ,Belchertown,2502430,19419,1-Regular local school district that is NOT a component of a supervisory union
BELCOURT 7,North Dakota,ND ,BELCOURT 7,3802530,24370,1-Regular local school district that is NOT a component of a supervisory union
BELDING AREA SCHOOL DISTRICT,Michigan,MI ,Belding Area School District,2604530,16025,1-Regular local school district that is NOT a component of a supervisory union
BELEN CONSOLIDATED SCHOOLS,New Mexico,NM ,BELEN CONSOLIDATED SCHOOLS,3500180,13914,1-Regular local school district that is NOT a component of a supervisory union
BELFAST CENTRAL SCHOOL DISTRICT,New York,NY ,BELFAST CENTRAL SCHOOL DISTRICT,3604350,32569,1-Regular local school district that is NOT a component of a supervisory union
BELFIELD 13,North Dakota,ND ,BELFIELD 13,3806210,17588,1-Regular local school district that is NOT a component of a supervisory union
BELFONTE,Oklahoma,OK ,BELFONTE,4003840,15886,1-Regular local school district that is NOT a component of a supervisory union
BELFRY K-12 SCHOOLS,Montana,MT ,Belfry K-12 Schools,3003270,26500,1-Regular local school district that is NOT a component of a supervisory union
BELGRADE ELEM,Montana,MT ,Belgrade Elem,3003290,12958,1-Regular local school district that is NOT a component of a supervisory union
BELGRADE H S,Montana,MT ,Belgrade H S,3003330,11376,1-Regular local school district that is NOT a component of a supervisory union
BELGRADE-BROOTEN-ELROSA SCHOOL DIST,Minnesota,MN ,BELGRADE-BROOTEN-ELROSA SCHOOL DIST,2700105,29367,1-Regular local school district that is NOT a component of a supervisory union
BELL CITY R-II,Missouri,MO ,BELL CITY R-II,2904530,16882,1-Regular local school district that is NOT a component of a supervisory union
BELL COUNTY,Kentucky,KY ,Bell County,2100390,15541,1-Regular local school district that is NOT a component of a supervisory union
BELLA VISTA ELEMENTARY,California,CA ,Bella Vista Elementary,0604350,15929,1-Regular local school district that is NOT a component of a supervisory union
BELLAIRE LOCAL,Ohio,OH ,Bellaire Local,3904357,20400,1-Regular local school district that is NOT a component of a supervisory union
BELLAIRE PUBLIC SCHOOLS,Michigan,MI ,Bellaire Public Schools,2604620,19385,1-Regular local school district that is NOT a component of a supervisory union
BELLBROOK-SUGARCREEK LOCAL,Ohio,OH ,Bellbrook-Sugarcreek Local,3904727,13161,1-Regular local school district that is NOT a component of a supervisory union
BELLE FOURCHE SCHOOL DISTRICT 09-1,South Dakota,SD ,Belle Fourche School District 09-1,4605610,11450,1-Regular local school district that is NOT a component of a supervisory union
BELLE PLAINE,Kansas,KS ,Belle Plaine,2003900,15633,1-Regular local school district that is NOT a component of a supervisory union
BELLE PLAINE COMM SCHOOL DISTRICT,Iowa,IA ,Belle Plaine Comm School District,1904620,16572,1-Regular local school district that is NOT a component of a supervisory union
BELLE PLAINE PUBLIC SCHOOL DISTRICT,Minnesota,MN ,BELLE PLAINE PUBLIC SCHOOL DISTRICT,2704050,14354,1-Regular local school district that is NOT a component of a supervisory union
BELLE VALLEY SD 119,Illinois,IL ,Belle Valley SD 119,1705580,17459,1-Regular local school district that is NOT a component of a supervisory union
BELLE VERNON AREA SD,Pennsylvania,PA ,Belle Vernon Area SD,4203210,16508,1-Regular local school district that is NOT a component of a supervisory union
BELLEFONTAINE CITY,Ohio,OH ,Bellefontaine City,3904358,15628,1-Regular local school district that is NOT a component of a supervisory union
BELLEFONTE AREA SD,Pennsylvania,PA ,Bellefonte Area SD,4203240,19749,1-Regular local school district that is NOT a component of a supervisory union
BELLEVIEW ELEMENTARY,California,CA ,Belleview Elementary,0604500,16202,1-Regular local school district that is NOT a component of a supervisory union
BELLEVIEW R-III,Missouri,MO ,BELLEVIEW R-III,2904590,19188,1-Regular local school district that is NOT a component of a supervisory union
BELLEVILLE AREA SPECIAL SERVICES,Illinois,IL ,Belleville Area Special Services,1743963,–,9-Specialized public school district
BELLEVILLE PUBLIC SCHOOL DISTRICT,New Jersey,NJ ,Belleville Public School District,3401350,24718,1-Regular local school district that is NOT a component of a supervisory union
BELLEVILLE SCHOOL DISTRICT,Wisconsin,WI ,Belleville School District,5500990,14943,1-Regular local school district that is NOT a component of a supervisory union
BELLEVILLE SD 118,Illinois,IL ,Belleville SD 118,1705610,18849,1-Regular local school district that is NOT a component of a supervisory union
BELLEVILLE TWP HSD 201,Illinois,IL ,Belleville Twp HSD 201,1705640,19832,1-Regular local school district that is NOT a component of a supervisory union
BELLEVILLE-HENDERSON CENTRAL SCHOOL DISTRICT,New York,NY ,BELLEVILLE-HENDERSON CENTRAL SCHOOL DISTRICT,3604370,23405,1-Regular local school district that is NOT a component of a supervisory union
BELLEVUE CITY,Ohio,OH ,Bellevue City,3904359,14563,1-Regular local school district that is NOT a component of a supervisory union
BELLEVUE COMM SCHOOL DISTRICT,Iowa,IA ,Bellevue Comm School District,1904650,11129,1-Regular local school district that is NOT a component of a supervisory union
BELLEVUE COMMUNITY SCHOOLS,Michigan,MI ,Bellevue Community Schools,2604650,16526,1-Regular local school district that is NOT a component of a supervisory union
BELLEVUE INDEPENDENT,Kentucky,KY ,Bellevue Independent,2100420,24733,1-Regular local school district that is NOT a component of a supervisory union
BELLEVUE ISD,Texas,TX ,BELLEVUE ISD,4809750,34563,1-Regular local school district that is NOT a component of a supervisory union
BELLEVUE PUBLIC SCHOOLS,Nebraska,NE ,BELLEVUE PUBLIC SCHOOLS,3103810,14102,1-Regular local school district that is NOT a component of a supervisory union
BELLEVUE SCHOOL DISTRICT,Washington,WA ,Bellevue School District,5300390,23753,1-Regular local school district that is NOT a component of a supervisory union
BELLEVUE UNION,California,CA ,Bellevue Union,0604380,23553,1-Regular local school district that is NOT a component of a supervisory union
BELLFLOWER UNIFIED,California,CA ,Bellflower Unified,0604440,21423,1-Regular local school district that is NOT a component of a supervisory union
BELLINGHAM,Massachusetts,MA ,Bellingham,2502460,26823,1-Regular local school district that is NOT a component of a supervisory union
BELLINGHAM SCHOOL DISTRICT,Washington,WA ,Bellingham School District,5300420,23302,1-Regular local school district that is NOT a component of a supervisory union
BELLMAWR PUBLIC SCHOOL DISTRICT,New Jersey,NJ ,Bellmawr Public School District,3401380,23505,1-Regular local school district that is NOT a component of a supervisory union
BELLMORE UNION FREE SCHOOL DISTRICT,New York,NY ,BELLMORE UNION FREE SCHOOL DISTRICT,3604410,33368,1-Regular local school district that is NOT a component of a supervisory union
BELLMORE-MERRICK CENTRAL HIGH SCHOOL DISTRICT,New York,NY ,BELLMORE-MERRICK CENTRAL HIGH SCHOOL DISTRICT,3619020,31657,1-Regular local school district that is NOT a component of a supervisory union
BELLOWS FALLS UNION HIGH SCHOOL DISTRICT #27,Vermont,VT ,Bellows Falls UHSD #27,5008246,23823,2-Local school district that is a component of a supervisory union
BELLS,Tennessee,TN ,Bells,4700210,11084,1-Regular local school district that is NOT a component of a supervisory union
BELLS ISD,Texas,TX ,BELLS ISD,4809780,15833,1-Regular local school district that is NOT a component of a supervisory union
BELLVILLE ISD,Texas,TX ,BELLVILLE ISD,4809810,14548,1-Regular local school district that is NOT a component of a supervisory union
BELLWOOD SD 88,Illinois,IL ,Bellwood SD 88,1705760,22731,1-Regular local school district that is NOT a component of a supervisory union
BELLWOOD-ANTIS SD,Pennsylvania,PA ,Bellwood-Antis SD,4203300,17228,1-Regular local school district that is NOT a component of a supervisory union
BELMAR ELEMENTARY SCHOOL DISTRICT,New Jersey,NJ ,Belmar Elementary School District,3401410,53087,1-Regular local school district that is NOT a component of a supervisory union
BELMOND-KLEMME COMM SCHOOL DISTRICT,Iowa,IA ,Belmond-Klemme Comm School District,1904680,17670,1-Regular local school district that is NOT a component of a supervisory union
BELMONT,Massachusetts,MA ,Belmont,2502490,58674,1-Regular local school district that is NOT a component of a supervisory union
BELMONT COMMUNITY SCHOOL DISTRICT,Wisconsin,WI ,Belmont Community School District,5501020,17071,1-Regular local school district that is NOT a component of a supervisory union
BELMONT-REDWOOD SHORES ELEMENTARY,California,CA ,Belmont-Redwood Shores Elementary,0604530,15126,1-Regular local school district that is NOT a component of a supervisory union
BELOIT,Kansas,KS ,Beloit,2003870,23016,1-Regular local school district that is NOT a component of a supervisory union
BELOIT SCHOOL DISTRICT,Wisconsin,WI ,Beloit School District,5501050,20109,1-Regular local school district that is NOT a component of a supervisory union
BELOIT TURNER SCHOOL DISTRICT,Wisconsin,WI ,Beloit Turner School District,5501080,16737,1-Regular local school district that is NOT a component of a supervisory union
