Agency Name,State Name [District] Latest available year,State Abbr [District] Latest available year,Agency Name [District] 2021-22,Agency ID - NCES Assigned [District] Latest available year,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2021-22,Agency Type [District] 2021-22
A E R O  SPEC EDUC COOP,Illinois,IL ,A E R O  Spec Educ Coop,1700024,–,9-Specialized public school district
A W BEATTIE CAREER CENTER,Pennsylvania,PA ,A W Beattie Career Center,4280010,–,9-Specialized public school district
A-C CENTRAL CUSD 262,Illinois,IL ,A-C Central CUSD 262,1700105,17729,1-Regular local school district that is NOT a component of a supervisory union
A. LINWOOD HOLTON GOVERNOR'S SCHOOL,Virginia,VA ,A. LINWOOD HOLTON GOV SCH,5100033,–,9-Specialized public school district
A.C.G.C. PUBLIC SCHOOL DISTRICT,Minnesota,MN ,A.C.G.C. Public School District,2700106,17691,1-Regular local school district that is NOT a component of a supervisory union
ABBEVILLE 60,South Carolina,SC ,Abbeville 60,4500690,20782,1-Regular local school district that is NOT a component of a supervisory union
ABBOTSFORD SCHOOL DISTRICT,Wisconsin,WI ,Abbotsford School District,5500030,15137,1-Regular local school district that is NOT a component of a supervisory union
ABBOTT ISD,Texas,TX ,ABBOTT ISD,4807380,13360,1-Regular local school district that is NOT a component of a supervisory union
ABC UNIFIED,California,CA ,ABC Unified,0601620,18320,1-Regular local school district that is NOT a component of a supervisory union
ABERDEEN DISTRICT,Idaho,ID ,ABERDEEN DISTRICT,1600030,13255,1-Regular local school district that is NOT a component of a supervisory union
ABERDEEN SCHOOL DIST,Mississippi,MS ,ABERDEEN SCHOOL DIST,2800360,14663,1-Regular local school district that is NOT a component of a supervisory union
ABERDEEN SCHOOL DISTRICT,Washington,WA ,Aberdeen School District,5300030,19073,1-Regular local school district that is NOT a component of a supervisory union
ABERDEEN SCHOOL DISTRICT 06-1,South Dakota,SD ,Aberdeen School District 06-1,4602070,11519,1-Regular local school district that is NOT a component of a supervisory union
ABERNATHY ISD,Texas,TX ,ABERNATHY ISD,4807410,13742,1-Regular local school district that is NOT a component of a supervisory union
ABILENE,Kansas,KS ,Abilene,2003180,14614,1-Regular local school district that is NOT a component of a supervisory union
ABILENE ISD,Texas,TX ,ABILENE ISD,4807440,14351,1-Regular local school district that is NOT a component of a supervisory union
ABINGDON-AVON CUSD 276,Illinois,IL ,Abingdon-Avon CUSD 276,1701413,18392,1-Regular local school district that is NOT a component of a supervisory union
ABINGTON,Massachusetts,MA ,Abington,2501650,25930,1-Regular local school district that is NOT a component of a supervisory union
ABINGTON HEIGHTS SD,Pennsylvania,PA ,Abington Heights SD,4202010,15484,1-Regular local school district that is NOT a component of a supervisory union
ABINGTON SD,Pennsylvania,PA ,Abington SD,4202040,22414,1-Regular local school district that is NOT a component of a supervisory union
ABSAROKEE ELEM,Montana,MT ,Absarokee Elem,3001710,18652,1-Regular local school district that is NOT a component of a supervisory union
ABSAROKEE H S,Montana,MT ,Absarokee H S,3001740,27707,1-Regular local school district that is NOT a component of a supervisory union
ABSECON PUBLIC SCHOOLS DISTRICT,New Jersey,NJ ,Absecon Public Schools District,3400660,26680,1-Regular local school district that is NOT a component of a supervisory union
ACADEMY ISD,Texas,TX ,ACADEMY ISD,4807470,14081,1-Regular local school district that is NOT a component of a supervisory union
ACADEMY SCHOOL DISTRICT NO. 20 IN THE COUNTY OF EL PASO AN,Colorado,CO ,Academy School District No. 20 in the county of El Paso an,0801920,12372,1-Regular local school district that is NOT a component of a supervisory union
ACADIA PARISH,Louisiana,LA ,Acadia Parish,2200030,13439,1-Regular local school district that is NOT a component of a supervisory union
ACALANES UNION HIGH,California,CA ,Acalanes Union High,0601650,20028,1-Regular local school district that is NOT a component of a supervisory union
ACCOMACK COUNTY PUBLIC SCHOOLS,Virginia,VA ,ACCOMACK CO PBLC SCHS,5100060,15423,1-Regular local school district that is NOT a component of a supervisory union
ACHIEVEMENT SCHOOL DISTRICT,Tennessee,TN ,Achievement School District,4700147,–,9-Specialized public school district
ACHILLE,Oklahoma,OK ,ACHILLE,4002370,15739,1-Regular local school district that is NOT a component of a supervisory union
ACTON PUBLIC SCHOOLS,Maine,ME ,Acton Public Schools,2302220,25787,1-Regular local school district that is NOT a component of a supervisory union
ACTON-AGUA DULCE UNIFIED,California,CA ,Acton-Agua Dulce Unified,0600001,19495,1-Regular local school district that is NOT a component of a supervisory union
ACTON-BOXBOROUGH,Massachusetts,MA ,Acton-Boxborough,2501710,35574,1-Regular local school district that is NOT a component of a supervisory union
ACUSHNET,Massachusetts,MA ,Acushnet,2501740,22302,1-Regular local school district that is NOT a component of a supervisory union
ADA,Oklahoma,OK ,ADA,4002430,12071,1-Regular local school district that is NOT a component of a supervisory union
ADA EXEMPTED VILLAGE,Ohio,OH ,Ada Exempted Village,3904518,14257,1-Regular local school district that is NOT a component of a supervisory union
ADA-BORUP-WEST PUBLIC SCHOOLS,MINNESOTA,MN ,Ada-Borup-West Public Schools,2700480,17865,1-Regular local school district that is NOT a component of a supervisory union
ADAIR,Oklahoma,OK ,ADAIR,4002460,11226,1-Regular local school district that is NOT a component of a supervisory union
ADAIR CO. R-I,Missouri,MO ,ADAIR CO. R-I,2922980,13959,1-Regular local school district that is NOT a component of a supervisory union
ADAIR CO. R-II,Missouri,MO ,ADAIR CO. R-II,2905790,26311,1-Regular local school district that is NOT a component of a supervisory union
ADAIR COUNTY,Kentucky,KY ,Adair County,2100030,12900,1-Regular local school district that is NOT a component of a supervisory union
ADAIR-CASEY COMM SCHOOL DISTRICT,Iowa,IA ,Adair-Casey Comm School District,1903090,19830,1-Regular local school district that is NOT a component of a supervisory union
ADAMS 12 FIVE STAR SCHOOLS,Colorado,CO ,Adams 12 Five Star Schools,0806900,14916,1-Regular local school district that is NOT a component of a supervisory union
ADAMS CENTRAL COMMUNITY SCHOOLS,Indiana,IN ,Adams Central Community Schools,1800060,15334,1-Regular local school district that is NOT a component of a supervisory union
ADAMS CENTRAL PUBLIC SCHOOLS,Nebraska,NE ,ADAMS CENTRAL PUBLIC SCHOOLS,3102770,16643,1-Regular local school district that is NOT a component of a supervisory union
ADAMS COUNTY OHIO VALLEY LOCAL,Ohio,OH ,Adams County Ohio Valley Local,3906190,15218,1-Regular local school district that is NOT a component of a supervisory union
ADAMS COUNTY TECHNICAL INSTITUTE,PENNSYLVANIA,PA ,Adams County Technical Institute,4200905,154000,9-Specialized public school district
ADAMS TOWNSHIP SCHOOL DISTRICT,Michigan,MI ,Adams Township School District,2601890,12790,1-Regular local school district that is NOT a component of a supervisory union
ADAMS-FRIENDSHIP AREA SCHOOL DISTRICT,Wisconsin,WI ,Adams-Friendship Area School District,5500060,17648,1-Regular local school district that is NOT a component of a supervisory union
ADDISON CENTRAL SCHOOL DISTRICT,New York,NY ,ADDISON CENTRAL SCHOOL DISTRICT,3602370,29179,1-Regular local school district that is NOT a component of a supervisory union
ADDISON CENTRAL UNIFIED UNION SCHOOL DISTRICT #55,VERMONT,VT ,Addison Central Unified School District,5000402,24860,2-Local school district that is a component of a supervisory union
ADDISON COMMUNITY SCHOOLS,Michigan,MI ,Addison Community Schools,2601920,14587,1-Regular local school district that is NOT a component of a supervisory union
ADDISON NORTHWEST UNIFIED UNION SCHOOL DISTRICT #54,VERMONT,VT ,Addison Northwest Unified School District,5000398,27537,2-Local school district that is a component of a supervisory union
ADDISON SD 4,Illinois,IL ,Addison SD 4,1703150,19940,1-Regular local school district that is NOT a component of a supervisory union
ADEL DESOTO MINBURN COMM SCHOOL DISTRICT,Iowa,IA ,Adel DeSoto Minburn Comm School District,1903150,14398,1-Regular local school district that is NOT a component of a supervisory union
ADEL SD 21,Oregon,OR ,Adel SD 21,4100990,39769,1-Regular local school district that is NOT a component of a supervisory union
ADELANTO ELEMENTARY,California,CA ,Adelanto Elementary,0601710,17287,1-Regular local school district that is NOT a component of a supervisory union
ADENA LOCAL,Ohio,OH ,Adena Local,3904949,14165,1-Regular local school district that is NOT a component of a supervisory union
ADIRONDACK CENTRAL SCHOOL DISTRICT,New York,NY ,ADIRONDACK CENTRAL SCHOOL DISTRICT,3605040,28120,1-Regular local school district that is NOT a component of a supervisory union
ADLAI E STEVENSON HSD 125,Illinois,IL ,Adlai E Stevenson HSD 125,1732580,39023,1-Regular local school district that is NOT a component of a supervisory union
ADMIRAL PEARY AVTS,Pennsylvania,PA ,Admiral Peary AVTS,4280120,–,9-Specialized public school district
ADNA SCHOOL DISTRICT,Washington,WA ,Adna School District,5300060,17777,1-Regular local school district that is NOT a component of a supervisory union
ADRIAN ISD,Texas,TX ,ADRIAN ISD,4807500,23965,1-Regular local school district that is NOT a component of a supervisory union
ADRIAN PUBLIC SCHOOL DISTRICT,Minnesota,MN ,ADRIAN PUBLIC SCHOOL DISTRICT,2702730,20630,1-Regular local school district that is NOT a component of a supervisory union
ADRIAN PUBLIC SCHOOLS,Michigan,MI ,Adrian Public Schools,2601950,16137,1-Regular local school district that is NOT a component of a supervisory union
ADRIAN R-III,Missouri,MO ,ADRIAN R-III,2902850,10274,1-Regular local school district that is NOT a component of a supervisory union
ADRIAN SD 61,Oregon,OR ,Adrian SD 61,4101020,20703,1-Regular local school district that is NOT a component of a supervisory union
ADVANCE R-IV,Missouri,MO ,ADVANCE R-IV,2902880,13181,1-Regular local school district that is NOT a component of a supervisory union
AFFTON 101,Missouri,MO ,AFFTON 101,2902910,15352,1-Regular local school district that is NOT a component of a supervisory union
AFTON,Oklahoma,OK ,AFTON,4002520,12423,1-Regular local school district that is NOT a component of a supervisory union
AFTON CENTRAL SCHOOL DISTRICT,New York,NY ,AFTON CENTRAL SCHOOL DISTRICT,3602400,54970,1-Regular local school district that is NOT a component of a supervisory union
AGAR-BLUNT-ONIDA SCHOOL DISTRICT 58-3,South Dakota,SD ,Agar-Blunt-Onida School District 58-3,4600042,21025,1-Regular local school district that is NOT a component of a supervisory union
AGATE SCHOOL DISTRICT NO. 300,Colorado,CO ,Agate School District No. 300,0801980,21440,1-Regular local school district that is NOT a component of a supervisory union
AGAWAM,Massachusetts,MA ,Agawam,2501800,24098,1-Regular local school district that is NOT a component of a supervisory union
AGRA,Oklahoma,OK ,AGRA,4002550,14117,1-Regular local school district that is NOT a component of a supervisory union
AGUA DULCE ISD,Texas,TX ,AGUA DULCE ISD,4807530,16360,1-Regular local school district that is NOT a component of a supervisory union
AGUA FRIA UNION HIGH SCHOOL DISTRICT (4289),Arizona,AZ ,Agua Fria Union High School District (4289),0400450,16855,1-Regular local school district that is NOT a component of a supervisory union
AGUILA ELEMENTARY DISTRICT (4249),Arizona,AZ ,Aguila Elementary District (4249),0400480,21310,1-Regular local school district that is NOT a component of a supervisory union
AGUILAR REORGANIZED SCHOOL DISTRICT NO. 6,Colorado,CO ,Aguilar Reorganized School District No. 6,0802010,25149,1-Regular local school district that is NOT a component of a supervisory union
AGWSR COMM SCHOOL DISTRICT,Iowa,IA ,AGWSR Comm School District,1903060,18435,1-Regular local school district that is NOT a component of a supervisory union
AHSTW COMM SCHOOL DISTRICT,Iowa,IA ,AHSTW Comm School District,1904080,14556,1-Regular local school district that is NOT a component of a supervisory union
AIKEN 01,South Carolina,SC ,Aiken 01,4500720,14610,1-Regular local school district that is NOT a component of a supervisory union
AINSWORTH COMMUNITY SCHOOLS,Nebraska,NE ,AINSWORTH COMMUNITY SCHOOLS,3102790,20720,1-Regular local school district that is NOT a component of a supervisory union
AIRLINE CSD,Maine,ME ,Airline CSD,2302500,26085,1-Regular local school district that is NOT a component of a supervisory union
AIRPORT COMMUNITY SCHOOLS,Michigan,MI ,Airport Community Schools,2601980,13363,1-Regular local school district that is NOT a component of a supervisory union
AITKIN PUBLIC SCHOOL DISTRICT,Minnesota,MN ,AITKIN PUBLIC SCHOOL DISTRICT,2702760,16934,1-Regular local school district that is NOT a component of a supervisory union
AJO UNIFIED DISTRICT (4409),Arizona,AZ ,Ajo Unified District (4409),0400520,10866,1-Regular local school district that is NOT a component of a supervisory union
AKIN CCSD 91,Illinois,IL ,Akin CCSD 91,1703210,22351,1-Regular local school district that is NOT a component of a supervisory union
AKRON CENTRAL SCHOOL DISTRICT,New York,NY ,AKRON CENTRAL SCHOOL DISTRICT,3602430,26281,1-Regular local school district that is NOT a component of a supervisory union
AKRON CITY,Ohio,OH ,Akron City,3904348,20483,1-Regular local school district that is NOT a component of a supervisory union
AKRON SCHOOL DISTRICT NO. R-1,Colorado,CO ,Akron School District No. R-1,0802040,14363,1-Regular local school district that is NOT a component of a supervisory union
AKRON WESTFIELD COMM SCHOOL DISTRICT,Iowa,IA ,Akron Westfield Comm School District,1903220,15891,1-Regular local school district that is NOT a component of a supervisory union
AKRON-FAIRGROVE SCHOOLS,Michigan,MI ,Akron-Fairgrove Schools,2602010,24058,1-Regular local school district that is NOT a component of a supervisory union
ALABAMA YOUTH SERVICES,Alabama,AL ,Alabama Youth Services,0100002,–,1-Regular local school district that is NOT a component of a supervisory union
ALABASTER CITY,Alabama,AL ,Alabaster City,0100190,14916,1-Regular local school district that is NOT a component of a supervisory union
ALACHUA,Florida,FL ,ALACHUA,1200030,12950,1-Regular local school district that is NOT a component of a supervisory union
ALAMANCE-BURLINGTON SCHOOLS,North Carolina,NC ,Alamance-Burlington Schools,3700030,15701,1-Regular local school district that is NOT a component of a supervisory union
ALAMEDA COUNTY OFFICE OF EDUCATION,California,CA ,Alameda County Office of Education,0691051,174620,1-Regular local school district that is NOT a component of a supervisory union
ALAMEDA UNIFIED,California,CA ,Alameda Unified,0601770,19663,1-Regular local school district that is NOT a component of a supervisory union
ALAMO,Tennessee,TN ,Alamo,4700030,9569,1-Regular local school district that is NOT a component of a supervisory union
ALAMO HEIGHTS ISD,Texas,TX ,ALAMO HEIGHTS ISD,4807590,20869,1-Regular local school district that is NOT a component of a supervisory union
ALAMOGORDO PUBLIC SCHOOLS,New Mexico,NM ,ALAMOGORDO PUBLIC SCHOOLS,3500030,13070,1-Regular local school district that is NOT a component of a supervisory union
ALAMOSA SCHOOL DISTRICT NO. RE-11J,Colorado,CO ,Alamosa School District No. Re-11J,0802070,12140,1-Regular local school district that is NOT a component of a supervisory union
ALANSON PUBLIC SCHOOLS,Michigan,MI ,Alanson Public Schools,2621810,18026,1-Regular local school district that is NOT a component of a supervisory union
ALASKA GATEWAY SCHOOL DISTRICT,Alaska,AK ,Alaska Gateway School District,0200050,41960,1-Regular local school district that is NOT a component of a supervisory union
ALBA PUBLIC SCHOOLS,Michigan,MI ,Alba Public Schools,2602040,15165,1-Regular local school district that is NOT a component of a supervisory union
ALBA-GOLDEN ISD,Texas,TX ,ALBA-GOLDEN ISD,4807650,14006,1-Regular local school district that is NOT a component of a supervisory union
ALBANY CITY SCHOOL DISTRICT,New York,NY ,ALBANY CITY SCHOOL DISTRICT,3602460,40523,1-Regular local school district that is NOT a component of a supervisory union
ALBANY CITY UNIFIED,California,CA ,Albany City Unified,0601860,30369,1-Regular local school district that is NOT a component of a supervisory union
ALBANY COUNTY SCHOOL DISTRICT #1,Wyoming,WY ,Albany County School District #1,5600730,22548,1-Regular local school district that is NOT a component of a supervisory union
ALBANY ISD,Texas,TX ,ALBANY ISD,4807680,13049,1-Regular local school district that is NOT a component of a supervisory union
ALBANY PUBLIC SCHOOL DISTRICT,Minnesota,MN ,ALBANY PUBLIC SCHOOL DISTRICT,2702930,15076,1-Regular local school district that is NOT a component of a supervisory union
ALBANY R-III,Missouri,MO ,ALBANY R-III,2902970,12480,1-Regular local school district that is NOT a component of a supervisory union
ALBANY SCHOOL DISTRICT,New Hampshire,NH ,Albany School District,3301350,–,2-Local school district that is a component of a supervisory union
ALBANY SCHOOL DISTRICT,Wisconsin,WI ,Albany School District,5500120,22518,1-Regular local school district that is NOT a component of a supervisory union
ALBEMARLE COUNTY PUBLIC SCHOOLS,Virginia,VA ,ALBEMARLE CO PBLC SCHS,5100090,20208,1-Regular local school district that is NOT a component of a supervisory union
ALBERS SD 63,Illinois,IL ,Albers SD 63,1703270,12258,1-Regular local school district that is NOT a component of a supervisory union
ALBERT CITY-TRUESDALE COMM SCHOOL DISTRICT,Iowa,IA ,Albert City-Truesdale Comm School District,1900031,35029,1-Regular local school district that is NOT a component of a supervisory union
ALBERT GALLATIN AREA SD,Pennsylvania,PA ,Albert Gallatin Area SD,4202100,19640,1-Regular local school district that is NOT a component of a supervisory union
ALBERT LEA PUBLIC SCHOOL DISTRICT,Minnesota,MN ,ALBERT LEA PUBLIC SCHOOL DISTRICT,2702970,16923,1-Regular local school district that is NOT a component of a supervisory union
ALBERTON K-12 SCHOOLS,Montana,MT ,Alberton K-12 Schools,3001860,20392,1-Regular local school district that is NOT a component of a supervisory union
ALBERTVILLE CITY,Alabama,AL ,Albertville City,0100005,11037,1-Regular local school district that is NOT a component of a supervisory union
ALBIA COMM SCHOOL DISTRICT,Iowa,IA ,Albia Comm School District,1903270,13663,1-Regular local school district that is NOT a component of a supervisory union
ALBION,Oklahoma,OK ,ALBION,4002580,18063,1-Regular local school district that is NOT a component of a supervisory union
ALBION CENTRAL SCHOOL DISTRICT,New York,NY ,ALBION CENTRAL SCHOOL DISTRICT,3602520,36092,1-Regular local school district that is NOT a component of a supervisory union
ALBUQUERQUE PUBLIC SCHOOLS,New Mexico,NM ,ALBUQUERQUE PUBLIC SCHOOLS,3500060,15508,1-Regular local school district that is NOT a component of a supervisory union
ALBURG SCHOOL DISTRICT,Vermont,VT ,Alburg School District,5001770,32448,2-Local school district that is a component of a supervisory union
ALBURNETT COMM SCHOOL DISTRICT,Iowa,IA ,Alburnett Comm School District,1903300,23678,1-Regular local school district that is NOT a component of a supervisory union
ALCESTER-HUDSON SCHOOL DISTRICT 61-1,South Dakota,SD ,Alcester-Hudson School District 61-1,4600028,14754,1-Regular local school district that is NOT a component of a supervisory union
ALCOA,Tennessee,TN ,Alcoa,4700060,14506,1-Regular local school district that is NOT a component of a supervisory union
ALCONA COMMUNITY SCHOOLS,Michigan,MI ,Alcona Community Schools,2602160,17199,1-Regular local school district that is NOT a component of a supervisory union
ALCORN SCHOOL DIST,Mississippi,MS ,ALCORN SCHOOL DIST,2800390,10882,1-Regular local school district that is NOT a component of a supervisory union
ALDEN CENTRAL SCHOOL DISTRICT,New York,NY ,ALDEN CENTRAL SCHOOL DISTRICT,3602550,23981,1-Regular local school district that is NOT a component of a supervisory union
ALDEN COMM SCHOOL DISTRICT,Iowa,IA ,Alden Comm School District,1900032,21721,1-Regular local school district that is NOT a component of a supervisory union
ALDEN HEBRON SD 19,Illinois,IL ,Alden Hebron SD 19,1703300,19947,1-Regular local school district that is NOT a component of a supervisory union
ALDEN-CONGER PUBLIC SCHOOL DISTRICT,Minnesota,MN ,ALDEN-CONGER PUBLIC SCHOOL DISTRICT,2703030,16842,1-Regular local school district that is NOT a component of a supervisory union
ALDER ELEM,Montana,MT ,Alder Elem,3017460,25833,1-Regular local school district that is NOT a component of a supervisory union
ALDINE ISD,Texas,TX ,ALDINE ISD,4807710,12943,1-Regular local school district that is NOT a component of a supervisory union
ALEDO ISD,Texas,TX ,ALEDO ISD,4807780,21634,1-Regular local school district that is NOT a component of a supervisory union
ALEUTIAN REGION SCHOOL DISTRICT,Alaska,AK ,Aleutian Region School District,0200010,99625,1-Regular local school district that is NOT a component of a supervisory union
ALEUTIANS EAST BOROUGH SCHOOL DISTRICT,Alaska,AK ,Aleutians East Borough School District,0200007,60981,1-Regular local school district that is NOT a component of a supervisory union
ALEX,Oklahoma,OK ,ALEX,4002670,29141,1-Regular local school district that is NOT a component of a supervisory union
ALEXANDER 2,North Dakota,ND ,ALEXANDER 2,3801760,23117,1-Regular local school district that is NOT a component of a supervisory union
ALEXANDER CENTRAL SCHOOL DISTRICT,New York,NY ,ALEXANDER CENTRAL SCHOOL DISTRICT,3602580,24999,1-Regular local school district that is NOT a component of a supervisory union
ALEXANDER CITY,Alabama,AL ,Alexander City,0100030,14751,1-Regular local school district that is NOT a component of a supervisory union
ALEXANDER COUNTY SCHOOLS,North Carolina,NC ,Alexander County Schools,3700090,13412,1-Regular local school district that is NOT a component of a supervisory union
ALEXANDER LOCAL,Ohio,OH ,Alexander Local,3904590,15217,1-Regular local school district that is NOT a component of a supervisory union
ALEXANDER PUBLIC SCHOOLS,Maine,ME ,Alexander Public Schools,2302280,27348,1-Regular local school district that is NOT a component of a supervisory union
ALEXANDER VALLEY UNION ELEMENTARY,California,CA ,Alexander Valley Union Elementary,0601890,73522,1-Regular local school district that is NOT a component of a supervisory union
ALEXANDRIA CENTRAL SCHOOL DISTRICT,New York,NY ,ALEXANDRIA CENTRAL SCHOOL DISTRICT,3602670,30498,1-Regular local school district that is NOT a component of a supervisory union
ALEXANDRIA CITY PUBLIC SCHOOLS,Virginia,VA ,ALEXANDRIA CITY PBLC SCHS,5100120,21602,1-Regular local school district that is NOT a component of a supervisory union
ALEXANDRIA COMMUNITY SCHOOL CORP,Indiana,IN ,Alexandria Community School Corp,1800120,13310,1-Regular local school district that is NOT a component of a supervisory union
ALEXANDRIA PUBLIC SCHOOL DISTRICT,Minnesota,MN ,ALEXANDRIA PUBLIC SCHOOL DISTRICT,2703060,18617,1-Regular local school district that is NOT a component of a supervisory union
ALEXANDRIA TOWNSHIP SCHOOL DISTRICT,New Jersey,NJ ,Alexandria Township School District,3400690,36772,1-Regular local school district that is NOT a component of a supervisory union
ALFRED-ALMOND CENTRAL SCHOOL DISTRICT,New York,NY ,ALFRED-ALMOND CENTRAL SCHOOL DISTRICT,3602700,34554,1-Regular local school district that is NOT a component of a supervisory union
ALGOMA SCHOOL DISTRICT,Wisconsin,WI ,Algoma School District,5500150,15518,1-Regular local school district that is NOT a component of a supervisory union
ALGONA COMM SCHOOL DISTRICT,Iowa,IA ,Algona Comm School District,1903360,15620,1-Regular local school district that is NOT a component of a supervisory union
ALGONAC COMMUNITY SCHOOL DISTRICT,Michigan,MI ,Algonac Community School District,2602190,13994,1-Regular local school district that is NOT a component of a supervisory union
ALHAMBRA ELEMENTARY DISTRICT (4280),Arizona,AZ ,Alhambra Elementary District (4280),0400600,13717,1-Regular local school district that is NOT a component of a supervisory union
ALHAMBRA UNIFIED,California,CA ,Alhambra Unified,0600153,23830,1-Regular local school district that is NOT a component of a supervisory union
ALICE ISD,Texas,TX ,ALICE ISD,4807800,16544,1-Regular local school district that is NOT a component of a supervisory union
ALIEF ISD,Texas,TX ,ALIEF ISD,4807830,15230,1-Regular local school district that is NOT a component of a supervisory union
ALINE-CLEO,Oklahoma,OK ,ALINE-CLEO,4002720,18365,1-Regular local school district that is NOT a component of a supervisory union
ALIQUIPPA SD,Pennsylvania,PA ,Aliquippa SD,4202130,22223,1-Regular local school district that is NOT a component of a supervisory union
ALISAL UNION,California,CA ,Alisal Union,0601950,18164,1-Regular local school district that is NOT a component of a supervisory union
ALLAMAKEE COMM SCHOOL DISTRICT,Iowa,IA ,Allamakee Comm School District,1903390,14050,1-Regular local school district that is NOT a component of a supervisory union
ALLAMUCHY TOWNSHIP SCHOOL DISTRICT,New Jersey,NJ ,Allamuchy Township School District,3400720,33833,1-Regular local school district that is NOT a component of a supervisory union
ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,Michigan,MI ,Allegan Area Educational Service Agency,2680100,–,9-Specialized public school district
ALLEGAN PUBLIC SCHOOLS,Michigan,MI ,Allegan Public Schools,2602220,15381,1-Regular local school district that is NOT a component of a supervisory union
ALLEGANY COUNTY PUBLIC SCHOOLS,Maryland,MD ,Allegany County Public Schools,2400030,18760,1-Regular local school district that is NOT a component of a supervisory union
ALLEGANY-LIMESTONE CENTRAL SCHOOL DISTRICT,New York,NY ,ALLEGANY-LIMESTONE CENTRAL SCHOOL DISTRICT,3600015,25708,1-Regular local school district that is NOT a component of a supervisory union
ALLEGHANY COUNTY SCHOOLS,North Carolina,NC ,Alleghany County Schools,3700120,17210,1-Regular local school district that is NOT a component of a supervisory union
ALLEGHANY HIGHLANDS PUBLIC SCHOOLS,Virginia,VA ,ALLEGHANY CO PBLC SCHS,5100152,14502,1-Regular local school district that is NOT a component of a supervisory union
ALLEGHENY VALLEY SD,Pennsylvania,PA ,Allegheny Valley SD,4202190,23966,1-Regular local school district that is NOT a component of a supervisory union
ALLEGHENY-CLARION VALLEY SD,Pennsylvania,PA ,Allegheny-Clarion Valley SD,4202310,28628,1-Regular local school district that is NOT a component of a supervisory union
ALLEN,Oklahoma,OK ,ALLEN,4002760,14127,1-Regular local school district that is NOT a component of a supervisory union
ALLEN CONSOLIDATED SCHOOLS,Nebraska,NE ,ALLEN CONSOLIDATED SCHOOLS,3102880,27308,1-Regular local school district that is NOT a component of a supervisory union
ALLEN COUNTY,Kentucky,KY ,Allen County,2100070,12261,1-Regular local school district that is NOT a component of a supervisory union
ALLEN EAST LOCAL,Ohio,OH ,Allen East Local,3904575,12293,1-Regular local school district that is NOT a component of a supervisory union
ALLEN ISD,Texas,TX ,ALLEN ISD,4807890,15405,1-Regular local school district that is NOT a component of a supervisory union
ALLEN PARISH,Louisiana,LA ,Allen Parish,2200060,14994,1-Regular local school district that is NOT a component of a supervisory union
ALLEN PARK PUBLIC SCHOOLS,Michigan,MI ,Allen Park Public Schools,2602520,15256,1-Regular local school district that is NOT a component of a supervisory union
ALLEN-BOWDEN,Oklahoma,OK ,ALLEN-BOWDEN,4002790,15055,1-Regular local school district that is NOT a component of a supervisory union
ALLEN-OTTER CREEK CCSD 65,Illinois,IL ,Allen-Otter Creek CCSD 65,1703420,18885,1-Regular local school district that is NOT a component of a supervisory union
ALLENDALE 01,South Carolina,SC ,Allendale 01,4500750,22976,1-Regular local school district that is NOT a component of a supervisory union
ALLENDALE CCSD 17,Illinois,IL ,Allendale CCSD 17,1703450,–,1-Regular local school district that is NOT a component of a supervisory union
ALLENDALE PUBLIC SCHOOL DISTRICT,New Jersey,NJ ,Allendale Public School District,3400750,23070,1-Regular local school district that is NOT a component of a supervisory union
ALLENDALE PUBLIC SCHOOLS,Michigan,MI ,Allendale Public Schools,2602550,15541,1-Regular local school district that is NOT a component of a supervisory union
ALLENSTOWN SCHOOL DISTRICT,New Hampshire,NH ,Allenstown School District,3301380,63404,2-Local school district that is a component of a supervisory union
ALLENSWORTH ELEMENTARY,California,CA ,Allensworth Elementary,0601980,22450,1-Regular local school district that is NOT a component of a supervisory union
ALLENTOWN CITY SD,Pennsylvania,PA ,Allentown City SD,4202280,22177,1-Regular local school district that is NOT a component of a supervisory union
ALLIANCE CITY,Ohio,OH ,Alliance City,3904349,15221,1-Regular local school district that is NOT a component of a supervisory union
ALLIANCE PUBLIC SCHOOLS,Nebraska,NE ,ALLIANCE PUBLIC SCHOOLS,3102910,14316,1-Regular local school district that is NOT a component of a supervisory union
ALLOWAY TWP SCHOOL DISTRICT,New Jersey,NJ ,Alloway Twp School District,3400810,34322,1-Regular local school district that is NOT a component of a supervisory union
ALMA CENTER SCHOOL DISTRICT,Wisconsin,WI ,Alma Center School District,5500210,21126,1-Regular local school district that is NOT a component of a supervisory union
ALMA PUBLIC SCHOOLS,Michigan,MI ,Alma Public Schools,2602640,15130,1-Regular local school district that is NOT a component of a supervisory union
ALMA PUBLIC SCHOOLS,Nebraska,NE ,ALMA PUBLIC SCHOOLS,3100080,18227,1-Regular local school district that is NOT a component of a supervisory union
ALMA SCHOOL DISTRICT,Wisconsin,WI ,Alma School District,5500180,18037,1-Regular local school district that is NOT a component of a supervisory union
ALMA SCHOOL DISTRICT,Arkansas,AR ,ALMA SCHOOL DISTRICT,0502250,12494,1-Regular local school district that is NOT a component of a supervisory union
ALMIRA SCHOOL DISTRICT,Washington,WA ,Almira School District,5300090,55226,1-Regular local school district that is NOT a component of a supervisory union
ALMOND-BANCROFT SCHOOL DISTRICT,Wisconsin,WI ,Almond-Bancroft School District,5500240,17890,1-Regular local school district that is NOT a component of a supervisory union
